"Judete","Agricultura_Vanatoare","Pescuit","Energie_Gaze_Apa","Constructii","Comert","Hoteluri_Restaurante","Transport_Depozitare","Posta","Educatie","Admin_publica_Aparare","Sanatate","Dimensiunea_socio_economica_generala","Infrastructura_si_logistica","Redundanta_ML"
"Bihor",661,1091,1841,1075,866,729,1138,1189,1244,1853,1164,-0.255188327120545,0.0476086906082313,1.64294489760498
"Bistrita-Nasaud",849,478,1626,887,702,664,986,1297,1426,2363,1109,-0.535827231740424,-1.13038234950079,-0.698479567144681
"Cluj",786,612.5,2097,1189,1071,677,1400,1505,1748,2471,1455,2.43218144909092,-0.446408546566761,0.782700826568659
"Maramures",674,575,1922,861,908,615,950,1360,1305,2121,1248,0.152155426304043,-1.53015094122248,1.67489698978912
"Satu Mare",807,748,1793,788,800,495,1114,1493,1481,2274,1192,0.146724196494488,-1.41190209095249,-0.155222504872136
"Salaj",743,591,1594,823,721,592,966,1267,1322,2096,1141,-0.773713084472607,-1.35393514455289,-0.0033817612299688
"Alba",936,598,2105,1012,738,593,1263,1383,1581,2232,1243,0.156409925256883,-0.208742000458747,-1.19955688860616
"Brasov",933,886,1870,1088,1018,647,1251,1495,1383,2689,1397,0.997477766867794,-0.238353918231955,2.20580364672876
"Covasna",793,367,1346,848,720,695,981,1349,1369,2359,1280,-0.621463638235537,-1.26329889172446,-0.251264880975015
"Harghita",806,852,1460,756,747,605,1101,1249,1211,2101,1276,-0.986355871142048,-0.748839522538263,0.785723021982278
"Mures",843,752,2295,944,783,763,1221,1210,1318,2339,960,-0.447205630258092,0.2963504518067,0.545345634326266
"Sibiu",926,524,1887,1162,966,720,1502,1319,1699,2529,1366,1.73015389861033,0.15249019230208,0.137543669727063
"Bacau",888,564,1889,1087,895,695,1344,1494,1440,2166,1213,0.530450441545818,0.2205534014167,0.867529390909668
"Botosani",644,686,1805,866,609,599,977,1330,1304,2170,1307,-1.40562677506106,-0.927556478255428,-0.863190179191406
"Iasi",991,626,2147,908,864,653,1402,1491,1894,2424,1431,1.80928296959537,-0.518199114447424,-1.73642488881905
"Neamt",786,435,2133,883,699,631,1165,1537,1402,2137,1227,-0.618422783790644,-0.374685050668662,-0.60848358182405
"Suceava",683,633,2190,876,687,585,1249,1422,1529,2148,1102,-0.28450938477722,-0.527312076474157,-1.36073364233762
"Vaslui",891,687,1485,911,607,681,1080,1298,1473,2087,1112,-0.8827833235208,-0.503137603843167,-1.74513036610358
"Braila",844,482,1707,852,841,679,1096,1524,1440,1907,1378,0.236534625145239,-0.865484905556608,0.409486895629617
"Buzau",830,477,1986,1053,667,721,1684,1464,1410,1872,1225,-0.747426924343065,1.72627771834433,-0.92428537974891
"Constanta",809,495,2502,1119,898,775,1704,1709,1576,2530,1225,0.995571765406192,1.38307664479927,0.189992134739831
"Galati",911,794,1759,1046,865,725,1427,1498,1319,2255,1334,-0.00443358665713286,0.816521227643551,1.23423364437164
"Tulcea",921,1038,1867,952,606,600,1305,1516,1123,1992,1169,-1.9841849553616,1.08548070992792,0.0350901763575258
"Vrancea",856,445,1564,933,868,618,1339,1356,1293,2088,1158,-0.0872229638673993,-0.206547648048102,1.38780047760268
"Arges",962,612.5,2163,1022,853,731,1144,1305,1507,1899,1360,0.52058128550384,-0.121846165701792,0.165655149100184
"Calarasi",892,525,1411,1064,697,572,1065,1204,1306,1983,1034,-0.943721488638444,-0.598556045889211,-0.127563599541476
"Dambovita",945,1055,2114,1036,739,722,1245,1296,1322,1946,1045,-0.663217000171403,0.824254342990709,0.152199729820751
"Giurgiu",834,599,1704,1246,792,493,1357,1225,1642,1726,1069,0.621139295860559,-0.277359301316814,-1.04968345357414
"Ialomita",814,629,1844,880,810,695,1628,1269,1578,1932,1289,0.51835759568149,0.553461144667045,-0.570037902888023
"Prahova",891,597,1959,1150,985,785,1485,1506,1557,2263,1206,1.37592001838432,0.601227502659654,1.03571280309701
"Teleorman",972,565,1380,917,672,693,1423,1146,1099,1864,1167,-1.72148327997084,1.05090584625157,0.716323804858913
"Ilfov",846.5,1072,1827,985.5,796,678,1322,1583,1204,1514,1049,-0.746421079524974,0.913473935205542,1.24557346008718
"Municipiul Bucuresti",1040,1093,2491,985.5,796,678,1755,1339.5,1723,2129,1477,0.923956110732926,1.59326272022617,-1.44144088162108
"Dolj",836,824,2001,1027,816,652,1497,1451,1471,2089,1358,0.219488415295648,0.695168810000598,0.0324783758853395
"Gorj",701,510,1885.5,1008,724,665,1378,1253,1483,2397,1294,-0.225677347043532,0.00299477946130502,-0.810253342038803
"Mehedinti",983,516,2201,1032,771,575,966,1252,1541,2269,1188,0.196087729076988,-1.06935398644543,-0.712013652168107
"Olt",861,470,1893,959,725,680,1350,1209,1320,1919,1319,-0.739978711565349,0.463778606548936,0.0309072579089235
"Valcea",679,714,2028,957,862,706,1088,1167,1330,2008,1252,-0.00312303175611482,-0.601364040809382,1.15812182114587
"Arad",870,673,1884,1035,810,641,1612,1279,1454,2426,1232,0.135668706632913,0.795156853435315,0.0638781213613505
"Caras-Severin",838,587,1823,963,713,708,1373,1172,1261,1862,1073,-0.995720621875868,0.700199573400286,0.237731680948742
"Hunedoara",846.5,612.5,1770,951,672,624,1540,1315,1512,1932,1394,-0.405650155131169,0.654877746697587,-1.40822081464923
"Timis",1072,612.5,2058,1289,956,754,1483,1339.5,1918,2549,1505,2.3812155745401,0.346294924811523,-1.07230632321893
